Year,Month,Month_Year,IndustryLvl1,IndustryLvl2,IndustryLvl3,IndustryLvl4,AFF2017,Region,Local_Government_District,Age,Age_Group,FocusArea1,FocusArea2,QuadBike,No_of_Fatalities
2011,2,01FEB2011,Mining,Non-Metallic Mineral Mining and Quarrying,Construction Material Mining,Gravel and Sand Quarrying,Quarrying,Tasman,Tasman,45,45-54,Extractives,Vehicles & Machinery,,1
2011,3,01MAR2011,Administrative and Support Services,"Building Cleaning, Pest Control and Other Support Services","Building Cleaning, Pest Control and Gardening Services",Gardening Services,Administrative and Support Services,Wellington,Porirua,26,25-34,Not a focus area,Tree Felling,,1
2011,3,01MAR2011,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Manawatu-Whanganui,Rangitikei,43,35-44,Agriculture,Vehicles & Machinery,,1
2011,3,01MAR2011,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Southland,Southland,60,55-64,Agriculture,Vehicles & Machinery,,1
2011,3,01MAR2011,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Waikato,South Waikato,83,65 and over,Agriculture,Vehicles & Machinery,,1
2011,3,01MAR2011,Construction,Construction Services,Building Structure Services,Roofing Services,Construction,Canterbury,Christchurch,55,55-64,Construction,Energy Safety,,1
2011,3,01MAR2011,Construction,Heavy and Civil Engineering Construction,Heavy and Civil Engineering Construction,Road and Bridge Construction,Construction,Waikato,Waikato,55,55-64,Construction,Vehicles & Machinery,,1
2011,4,01APR2011,Health Care and Social Assistance,Residential Care Services,Residential Care Services,Other Residential Care Services,Health Care and Social Assistance,Auckland,Manukau,54,45-54,Not a focus area,Other,,1
2011,5,01MAY2011,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Northland,Far North,55,55-64,Adventure Activities,"SCUBA Diving, Snorkelling, Free diving",,1
2011,5,01MAY2011,Construction,Building Construction,Non-Residential Building Construction,Non-Residential Building Construction,Construction,Auckland,North Shore,37,35-44,Construction,Other,,1
2011,6,01JUN2011,Education and Training,Tertiary Education,Tertiary Education,Technical and Vocational Education and Training,Education and Training,Auckland,Rodney,30,25-34,Not a focus area,Outdoor Education,,1
2011,6,01JUN2011,"Electricity, Gas, Water and Waste Services",Electricity Supply,Electricity Transmission,Electricity Transmission,"Electricity, Gas, Water and Waste Services",Wellington,Wellington,41,35-44,Not a focus area,Vehicles & Machinery,,1
2011,6,01JUN2011,"Electricity, Gas, Water and Waste Services","Water Supply, Sewerage and Drainage Services","Water Supply, Sewerage and Drainage Services",Water Supply,"Electricity, Gas, Water and Waste Services",Auckland,Auckland,48,45-54,Not a focus area,Hazardous Substances,,1
2011,7,01JUL2011,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Manawatu-Whanganui,Tararua,75,65 and over,Agriculture,Falling/Moving Object,,1
2011,7,01JUL2011,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Auckland,North Shore,33,25-34,Adventure Activities,"SCUBA Diving, Snorkelling, Free diving",,1
2011,7,01JUL2011,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Auckland,North Shore,37,35-44,Adventure Activities,"SCUBA Diving, Snorkelling, Free diving",,1
2011,7,01JUL2011,Manufacturing,Wood Product Manufacturing,Log Sawmilling and Timber Dressing,Log Sawmilling,Manufacturing,Bay of Plenty,Rotorua,61,55-64,Manufacturing,Fall from height,,1
2011,8,01AUG2011,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Southland,Invercargill,1,14 and under,Agriculture,Animal,,1
2011,8,01AUG2011,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Southland,Southland,45,45-54,Forestry,Tree Felling,,1
